Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
Café Sperlhof,Vienna,Kriminalmuseum,Museum,1
Café Sperlhof,Vienna,Volksschule Schwarzingergasse,General College & University,1
Café Sperlhof,Vienna,Vienna Stay Apartments - Top 1,Residential Building (Apartment / Condo),1
Café Sperlhof,Vienna,Bawag PSK,Bank,1
Café Sperlhof,Vienna,McCafé,Café,1
Café Sperlhof,Vienna,Crown & Sword,Pub,1
Café Sperlhof,Vienna,Gedenkstätte Widerstandskämpfer,Historic Site,1
Café Sperlhof,Vienna,Gemeinschaftsgarten am Augartenspitz,Garden,1
Café Sperlhof,Vienna,Glascontainer,Recycling Facility,1
Café Sperlhof,Vienna,Grünstern Gartenküche,Bistro,1
Café Sperlhof,Vienna,Landeskriminalamt Ast. Ost,Police Station,1
Café Sperlhof,Vienna,Bricks,Nightclub,1
Café Sperlhof,Vienna,Kino wie noch nie,Movie Theater,1
Café Sperlhof,Vienna,Holland Blumen Mark,Flower Shop,1
Café Sperlhof,Vienna,Wulfisch,Seafood Restaurant,1
Café Sperlhof,Vienna,ihana,Café,1
Café Sperlhof,Vienna,Schöne Perle,Austrian Restaurant,1
Café Sperlhof,Vienna,Zur Reblaus,Gastropub,1
Café Sperlhof,Vienna,Leopold Imbiss,Diner,1
Café Sperlhof,Vienna,Öl,Bar,1
Café Sperlhof,Vienna,La Massa,Italian Restaurant,1
Café Sperlhof,Vienna,supermari,Gourmet Shop,1
Café Sperlhof,Vienna,Ignaz Jahn,Austrian Restaurant,1
Café Sperlhof,Vienna,Alexander-Poch-Platz,Plaza,1
Café Sperlhof,Vienna,Pizzeria Mari,Pizza Place,1
Café Sperlhof,Vienna,Polizeiinspektion Leopoldsgasse,Police Station,1
Café Sperlhof,Vienna,JL Apartments,Residential Building (Apartment / Condo),1
Café Sperlhof,Vienna,Okra - Izakaya,Sushi Restaurant,1
Café Sperlhof,Vienna,Skopik & Lohn,Restaurant,1
Café Sperlhof,Vienna,Taqueria Los Mexikas,Mexican Restaurant,1
Café Sperlhof,Vienna,iDigital,Electronics Store,1
Café Sperlhof,Vienna,Eigenbauweine vom Weingut Dworzak,Wine Shop,1
Café Sperlhof,Vienna,KIZ Augarten,Doctor's Office,1
Café Sperlhof,Vienna,Werkbuchcafé,Bookstore,1
Café Sperlhof,Vienna,Bürgergarten,Garden,1
Café Sperlhof,Vienna,Gastronomie wie noch nie,Beer Garden,1
Café Sperlhof,Vienna,Marin Bike,Bike Shop,1
Café Sperlhof,Vienna,CC Real,Office,1
Café Sperlhof,Vienna,Zum Sieg,Restaurant,1
Café Sperlhof,Vienna,Leopoldistüberl,Pub,1
Café Sperlhof,Vienna,N.F.C. National Fight Club,Martial Arts School,1
Café Sperlhof,Vienna,BILLA,Supermarket,1
Café Sperlhof,Vienna,MS-eCommerce GmbH,Electronics Store,1
Café Sperlhof,Vienna,Coworking Wien,Coworking Space,1
Café Sperlhof,Vienna,Cityreifen,Automotive Shop,1
Café Sperlhof,Vienna,Im Werd,Residential Building (Apartment / Condo),1
Café Sperlhof,Vienna,Differential,Office,1
Café Sperlhof,Vienna,the shop around the corner - First and Second Hand Fashion,Women's Store,1
Café Sperlhof,Vienna,80A Taborstraße,Bus Stop,1
Café Sperlhof,Vienna,Herbert-Spitzer-Platz,Plaza,1
Café Sperlhof,Vienna,Castellezgasse 27,Building,1
Café Sperlhof,Vienna,Mensen.at Zentrale,Office,1
Café Sperlhof,Vienna,AINHORN BERNAT - Koscher Fleisch,Food,1
Café Sperlhof,Vienna,Plüsch Bar,Bar,1
Café Sperlhof,Vienna,Villa Geluan Augarten,Housing Development,1
Café Sperlhof,Vienna,Musek & Musek,Salon / Barbershop,1
Café Sperlhof,Vienna,Zahnarzt Dr. Novotny,Dentist's Office,1
Café Sperlhof,Vienna,JaMa Courtyard Estate,Residential Building (Apartment / Condo),1
Café Sperlhof,Vienna,Haidgassenfest,Music Venue,1
Café Sperlhof,Vienna,yenbo,Convenience Store,1
Café Sperlhof,Vienna,Garten,Garden,1
Café Sperlhof,Vienna,Dr. Andrea Foith,Doctor's Office,1
Café Sperlhof,Vienna,Dr. Martin Jagoutz-Herzlinger,Doctor's Office,1
Café Sperlhof,Vienna,Nagelstudio Sendi,Nail Salon,1
Café Sperlhof,Vienna,Notar Peter Lux,Notary,1
Café Sperlhof,Vienna,In der Bronchienwiege der Eisheiligen,Toll Booth,1
Café Sperlhof,Vienna,Atelier Manfred Hausschulz,Art Gallery,1
Café Sperlhof,Vienna,C2,Wine Bar,1
Café Sperlhof,Vienna,Amerlinggymnasium,High School,1
Café Sperlhof,Vienna,Dr. Tamir,Medical Center,1
Café Sperlhof,Vienna,Atelier de Koekkoek,Art Gallery,1
Café Sperlhof,Vienna,Kindergarten Stadt Wien,Building,1
Café Sperlhof,Vienna,city reifen,Automotive Shop,1
SpielBar,Vienna,City of Angels,Mexican Restaurant,1
SpielBar,Vienna,H Laudongasse,Tram Station,1
SpielBar,Vienna,Confraternität,Hospital,1
SpielBar,Vienna,Sportordination Physio,Medical Center,1
SpielBar,Vienna,H Laudongasse/Kochgasse,Bus Stop,1
SpielBar,Vienna,más restaurante mexicano,Mexican Restaurant,1
SpielBar,Vienna,Oliver’s Teigwerkstatt,Bakery,1
