City_name,Venue_name,Venue_cat,Venue_catID
Aberdeen,BrewDog Castlegate,Beer Bar,56aa371ce4b08b9a8d57356c
Aberdeen,VSA Mercat Bookshop,Bookstore,4bf58dd8d48988d114951735
Aberdeen,Grosvenor Casino,Casino,4bf58dd8d48988d17c941735
Aberdeen,Miller & Carter,Steakhouse,4bf58dd8d48988d1cc941735
Aberdeen,PureGym,Gym / Fitness Center,4bf58dd8d48988d175941735
Aberdeen,Hotel Ibis Aberdeen Centre,Hotel,4bf58dd8d48988d1fa931735
Aberdeen,Marischal Apartments,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Aberdeen,Volunteer Services Aberdeen,Non-Profit,50328a8e91d4c4b30a586d6c
Aberdeen,Bus Stop at Broad Street,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Aberdeen,Arts Centre & Theatre Aberdeen,Performing Arts Venue,4bf58dd8d48988d1f2931735
Aberdeen,Grampian Police Headquarters,Police Station,4bf58dd8d48988d12e941735
Aberdeen,Mcpherson Optometry,Optical Shop,4d954afda243a5684865b473
Aberdeen,Vitamin Shop,Sporting Goods Shop,4bf58dd8d48988d1f2941735
Aberdeen,St Andrews Cathedral,Church,4bf58dd8d48988d132941735
Aberdeen,Sinatra's Bar,Bar,4bf58dd8d48988d116941735
Aberdeen,McKays,Hobby Shop,4bf58dd8d48988d1fb941735
Aberdeen,Linton + Mac,Salon / Barbershop,4bf58dd8d48988d110951735
Aberdeen,Castlegate,Post Office,4bf58dd8d48988d172941735
Aberdeen,The Town House,Government Building,4bf58dd8d48988d126941735
Aberdeen,The Toll Boooth,City Hall,4bf58dd8d48988d129941735
Aberdeen,Royal Athenaeum Suites,Hotel,4bf58dd8d48988d1fa931735
Aberdeen,The Wig,Pub,4bf58dd8d48988d11b941735
Aberdeen,Old Blackfriars,Bar,4bf58dd8d48988d116941735
Aberdeen,Tourist Information,Tourist Information Center,4f4530164b9074f6e4fb00ff
Aberdeen,Shoe Lane Bus Stop,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Aberdeen,The Hansen Residence,Hotel,4bf58dd8d48988d1fa931735
Aberdeen,Mac's Pizzeria,Pizza Place,4bf58dd8d48988d1ca941735
Aberdeen,Vue,Movie Theater,4bf58dd8d48988d17f941735
Aberdeen,The Lemon Tree,Performing Arts Venue,4bf58dd8d48988d1f2931735
Aberdeen,Society of Advocates,Library,4bf58dd8d48988d12f941735
Aberdeen,Lane7,Bowling Alley,4bf58dd8d48988d1e4931735
Aberdeen,The Illicit Still,Pub,4bf58dd8d48988d11b941735
Aberdeen,493 Union Street,Nightclub,4bf58dd8d48988d11f941735
Aberdeen,Annie Mo's,Furniture / Home Store,4bf58dd8d48988d1f8941735
Aberdeen,The Esslemont,Scottish Restaurant,5744ccdde4b0c0459246b4a3
Aberdeen,Union Café & Bistro,Café,4bf58dd8d48988d16d941735
Aberdeen,sjømannskirken,Cultural Center,52e81612bcbc57f1066b7a32
Aberdeen,Portals,Pub,4bf58dd8d48988d11b941735
Aberdeen,UnderDog,Nightclub,4bf58dd8d48988d11f941735
Aberdeen,MHI Vestas Offshore Wind,Office,4bf58dd8d48988d124941735
Aberdeen,Optical Express Aberdeen,Optical Shop,4d954afda243a5684865b473
Aberdeen,St Peter's RC Church,Church,4bf58dd8d48988d132941735
Aberdeen,Nisbet,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Aberdeen,The City Bar & Diner,Restaurant,4bf58dd8d48988d1c4941735
Aberdeen,Aberdeen City Council,Coworking Space,4bf58dd8d48988d174941735
Aberdeen,RS McColl,Convenience Store,4d954b0ea243a5684a65b473
Aberdeen,Mint Accounting,Financial or Legal Service,503287a291d4c4b30a586d65
Aberdeen,Aberdeen VisitScotland Information Centre,Tourist Information Center,4f4530164b9074f6e4fb00ff
Aberdeen,Amplifon,Medical Supply Store,58daa1558bbb0b01f18ec206
Aberdeen,High Court,Courthouse,4bf58dd8d48988d12b941735
Aberdeen,castlegate,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Aberdeen,Maya,Indian Restaurant,4bf58dd8d48988d10f941735
Aberdeen,German Sausage Bar,German Restaurant,4bf58dd8d48988d10d941735
Aberdeen,The Artist's Pad,Arts & Crafts Store,4bf58dd8d48988d127951735
Aberdeen,Saltoun Arms,Pub,4bf58dd8d48988d11b941735
Aberdeen,TeaZone,Tea Room,4bf58dd8d48988d1dc931735
Aberdeen,Clinique Counter,Cosmetics Shop,4bf58dd8d48988d10c951735
Aberdeen,Elim Pentecostal Church,Church,4bf58dd8d48988d132941735
Aberdeen,Spar/ Post office,Post Office,4bf58dd8d48988d172941735
Aberdeen,Hazlehead Park,Music Venue,4bf58dd8d48988d1e5931735
Aberdeen,Take Away Pizzeria,Fast Food Restaurant,4bf58dd8d48988d16e941735
Aberdeen,"Tunnels, Aberdeen",Music Venue,4bf58dd8d48988d1e5931735
Aberdeen,a m butchers,Butcher,4bf58dd8d48988d11d951735
Aberdeen,Kross Kut Hair Design,Salon / Barbershop,4bf58dd8d48988d110951735
Aberdeen,Honour Over Glory,Office,4bf58dd8d48988d124941735
Aberdeen,ACVO Aberdeen Council of Voluntary Orgs,Non-Profit,50328a8e91d4c4b30a586d6c
Aberdeen,Castle Street Bus Stop (Westbound),Bus Stop,52f2ab2ebcbc57f1066b8b4f
Aberdeen,The White Horse,Bar,4bf58dd8d48988d116941735
Aberdeen,Bonfire Firework Aberdeen,General Entertainment,4bf58dd8d48988d1f1931735
Aberdeen,Marischal Street,Building,4bf58dd8d48988d130941735
Aberdeen,The Hobby Shop,Arts & Crafts Store,4bf58dd8d48988d127951735
Aberdeen,GoHawk,Tech Startup,4bf58dd8d48988d125941735
Aberdeen,Sunrice,Chinese Restaurant,4bf58dd8d48988d145941735
Aberdeen,The Barber's Pole,Salon / Barbershop,4bf58dd8d48988d110951735
Aberdeen,Provost Ross House,Historic Site,4deefb944765f83613cdba6e
Aberdeen,Transylvania,Romanian Restaurant,52960bac3cf9994f4e043ac4
Aberdeen,Tourist Information,Building,4bf58dd8d48988d130941735
Aberdeen,Pot D'afrik,African Restaurant,4bf58dd8d48988d1c8941735
Aberdeen,Newave Gallery & Studio,Art Gallery,4bf58dd8d48988d1e2931735
Aberdeen,warehouse gym,Gym,4bf58dd8d48988d176941735
Aberdeen,Trebble2Tattoo,Tattoo Parlor,4bf58dd8d48988d1de931735
Aberdeen,Thompsons Solicitors,Conference Room,4bf58dd8d48988d127941735
Aberdeen,City Archive,Building,4bf58dd8d48988d130941735
Adana,Abidin Dino Sanat Parkı,Park,4bf58dd8d48988d163941735
Adana,Adana Büyükşehir Belediye Tiyatrosu,Performing Arts Venue,4bf58dd8d48988d1f2931735
Adana,Sahaf Kitabevi,Bookstore,4bf58dd8d48988d114951735
Adana,Atatürk Parkı,Park,4bf58dd8d48988d163941735
Adana,Adana Büyükşehir Belediyesi,City Hall,4bf58dd8d48988d129941735
Adana,Adana Divan,Hotel,4bf58dd8d48988d1fa931735
Adana,Gazipasa.,Candy Store,4bf58dd8d48988d117951735
Adana,Adana Çarşı,Other Great Outdoors,4bf58dd8d48988d162941735
Adana,Çukurova Devlet Senfoni Orkestrası (ÇDSO),Concert Hall,5032792091d4c4b30a586d5c
Adana,Özel Adana Hastanesi,Hospital,4bf58dd8d48988d196941735
Adana,Kızılay Konteyner,Park,4bf58dd8d48988d163941735
Adana,Kebapçı Şeyhmus,Kebab Restaurant,5283c7b4e4b094cb91ec88d7
Adana,Tavuk Dünyası,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
Adana,Adana,Park,4bf58dd8d48988d163941735
Adana,Adana Havalimanı (ADA) (Adana Havalimanı),Airport,4bf58dd8d48988d1ed931735
Adana,Kazım Büfe,Snack Place,4bf58dd8d48988d1c7941735
Adana,Eylem,Plaza,4bf58dd8d48988d164941735
Adana,Öz Gültepe Pastanesi,Snack Place,4bf58dd8d48988d1c7941735
Adana,Çetinkaya,Café,4bf58dd8d48988d16d941735
Adana,Ot Cafe Bar Adana,Gastropub,4bf58dd8d48988d155941735
Adana,Şinasi Cafe & Bar & Restaurant,Bar,4bf58dd8d48988d116941735
Adana,Çevre Koruma ve Kontrol Daire Başkanlığı,City Hall,4bf58dd8d48988d129941735
Adana,Soulmate Coffee,Coffee Shop,4bf58dd8d48988d1e0931735
Adana,Hipodrom,Racetrack,4bf58dd8d48988d1f4931735
Adana,KVK Teknik Servis,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
Adana,ARİNNA,Coworking Space,4bf58dd8d48988d174941735
Adana,ADANA BUYUKSEHIR BELEDIYESI DINLENME YERI,Garden,4bf58dd8d48988d15a941735
Adana,Adana Büyükşehir Belediyesi Kent Estetiği ve Kent.Dön.Dai.Bşk Zemin Kat,Town Hall,52e81612bcbc57f1066b7a38
Adana,Viola Güzellik Merkezi (Estetik Ve Lazer Epilasyon),Business Center,56aa371be4b08b9a8d573517
Adana,ÇDSO KAFETERYA BAHÇESİ,Café,4bf58dd8d48988d16d941735
Adana,avukat fatoş hacıvelioğlu&cemre topal,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,Adana Ticaret Borsası,Office,4bf58dd8d48988d124941735
Adana,Göksel & Serap Kuaför,Salon / Barbershop,4bf58dd8d48988d110951735
Adana,Adana Büyükşehir Belediyesi Dış İlişkiler Ofisi,City Hall,4bf58dd8d48988d129941735
Adana,Adana Büyükşehir Belediyesi Bilgi İşlem Daire Başkanligi,Government Building,4bf58dd8d48988d126941735
Adana,TEKNOFEN İnsaat Şantiyesi,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,Adana Seyhan Nüfus Müdürlüğü,Government Building,4bf58dd8d48988d126941735
Adana,Kuaför kemal yeşil,Salon / Barbershop,4bf58dd8d48988d110951735
Adana,Çukurovatürk Tv,TV Station,52e81612bcbc57f1066b7a31
Adana,Zümrüt Sitesi B Blok,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,QNB Finans Leasing,Office,4bf58dd8d48988d124941735
Adana,Dentales Özel  Ağız Ve Diş Sağlığı Hastanesi,Business Center,56aa371be4b08b9a8d573517
Adana,Başarı Elektronik,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
Adana,Adana Büyükşehir Belediyesi Tiyatro Salonu,Conference,5267e4d9e4b0ec79466e48c6
Adana,Özülkü İş Merkezi,Building,4bf58dd8d48988d130941735
Adana,Adana Büyükşehir Belediyesi Ek Hizmet Binası,College Administrative Building,4bf58dd8d48988d197941735
Adana,Adana Büyükşehir Kent Konseyi,Coworking Space,4bf58dd8d48988d174941735
Adana,Rd Büfe,Buffet,52e81612bcbc57f1066b79f4
Adana,Irmak Hamamı,Building,4bf58dd8d48988d130941735
Adana,Recai DAĞLI Hukuk Bürosu,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,rebirth consultancy,Coworking Space,4bf58dd8d48988d174941735
Adana,Çukurova Dev. Senf. Orkestrası Kantini,Cafeteria,4bf58dd8d48988d128941735
Adana,Adana Büyükşehir Belediyesi tıyatro salonu,Art Gallery,4bf58dd8d48988d1e2931735
Adana,Çukurova Senfoni 1. Keman Grubu,Music Venue,4bf58dd8d48988d1e5931735
Adana,CarrefourSA Mini,Grocery Store,4bf58dd8d48988d118951735
Adana,Beta elektrik,Electronics Store,4bf58dd8d48988d122951735
Adana,Mithat's  ( SANDWITCHES & FRESH AND HOT DRINKS),Eastern European Restaurant,4bf58dd8d48988d109941735
Adana,Viyola Grup Mevkii (Rahle Civarı),Concert Hall,5032792091d4c4b30a586d5c
Adana,Psikoenerji-Matrix'e Dokunun,Non-Profit,50328a8e91d4c4b30a586d6c
Adana,Koças company,Advertising Agency,52e81612bcbc57f1066b7a3d
Adana,Zühtü Tansuğ,Doctor's Office,4bf58dd8d48988d177941735
Adana,BASARI TICARET VE ILETISIM HIZM.A.S.,Office,4bf58dd8d48988d124941735
Adana,İlgim Cafe,Café,4bf58dd8d48988d16d941735
Adana,Dunya Goz Hastahanesi Yetkin's.Room,Building,4bf58dd8d48988d130941735
Adana,Qnb Ask Çukurova Bölge Müdürlüğü,Business Center,56aa371be4b08b9a8d573517
Adana,Öyküm,Café,4bf58dd8d48988d16d941735
Adana,Cukurova Senfoni Yayli Calgilar,Concert Hall,5032792091d4c4b30a586d5c
Adana,Esmen Hukuk Bürosu,Lawyer,52f2ab2ebcbc57f1066b8b3f
Adana,Özerli Hukuk Bürosu,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,Taşkaya&Dağlı Hukuk Bürosu,Lawyer,52f2ab2ebcbc57f1066b8b3f
Adana,Biz Cafe Bar,Pub,4bf58dd8d48988d11b941735
Adana,Apple Nokia Turkcell Teknik Servis,General Entertainment,4bf58dd8d48988d1f1931735
Adana,Adana Büyükşehir Belediyesi Encümen Toplantı Salonu,Auditorium,4bf58dd8d48988d173941735
Adana,Av. Adil Bian & Av. Senem Yardım Hukuk Bürosu,Business Center,56aa371be4b08b9a8d573517
Adana,Turkcell Superonline,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
Adana,sanat cafe ataturk caddesi,General Entertainment,4bf58dd8d48988d1f1931735
Adana,Diş Hekimi Ortodontist Sözmen Menemencioğlu,Health & Beauty Service,54541900498ea6ccd0202697
Adana,Diş Hekimi Ulvi Sevdi Kliniği,Dentist's Office,4bf58dd8d48988d178941735
Adana,Urgenc aprt.,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Adana,Yeniköy Kuş Cenneti,Campground,4bf58dd8d48988d1e4941735
Adana,Avukat Aytül & Levet ÜNAL,Housing Development,4f2a210c4b9023bd5841ed28
Adana,Adana Büyükşehir Belediyesi Meclis Salonu,Town Hall,52e81612bcbc57f1066b7a38
Adana,Cdso 5. Rahle Sag Taraf,Concert Hall,5032792091d4c4b30a586d5c
Adana,Çukurova Senfoni Trombon Grubu (Low Brass),Music School,4f04b10d2fb6e1c99f3db0be
Adana,Prof.Dr.Şahin Uğurlu,Doctor's Office,4bf58dd8d48988d177941735
Adana,AES Hukuk Bürosu,Office,4bf58dd8d48988d124941735
Adana,Cumayı Gördüm,Comedy Club,4bf58dd8d48988d18e941735
Adana,Yazhane,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Adana,Adana Büyükşehir belediyesi çocuk Korosu,Music Venue,4bf58dd8d48988d1e5931735
Adana,Taksim Yatirim Adana Subesi,Bank,4bf58dd8d48988d10a951735
Adana,Bonomoni Patisserie,Snack Place,4bf58dd8d48988d1c7941735
Adana,Trek Turizm Seyhan Şube🍀,General Travel,4bf58dd8d48988d1f6931735
Adana,Ülkücü İşçiler Derneği Adana İl Başkanlığı,Non-Profit,50328a8e91d4c4b30a586d6c
Adana,Egemen Hukuk Bürosu,Office,4bf58dd8d48988d124941735
Adana,Mhp Adana Il Binası,Assisted Living,5032891291d4c4b30a586d68
Adana,Gündoğdu Holding,College Academic Building,4bf58dd8d48988d198941735
