,Name,Address,City,PostalCode,Country,Code
145,Loufoque,57 rue Galande,Paris,75005,France,FR
146,Meeple Café,33 rue d'Alleray,Paris,75015,France,FR
147,The Good Game,78 rue de Clery,Paris,75002,France,FR
148,Café Jeux Natema.,39 Rue des Orteaux,Paris,75020,France,FR
149,La Revanche,38 Avenue Daumesnil,Paris,75012,France,FR
150,Les Mauvais Joueurs,46 Rue Sedaine,Paris,75011,France,FR
151,Laluditavern,11 rue Valery Meunier,Pau,64000,France,FR
152,La malle d'Apolline,14 avenue de Laon,Reims,51100,France,FR
153,L'Heure du Jeu - Champs Libres,11 boulevard Magenta,Rennes,35000,France,FR
154,Le QG des Avenjoueurs Bar à Jeux à Rouen,18 rue des Fossés Louis VIII,Rouen,76000,France,FR
155,Dé Zinc,1 Avenue Georges Clemenceau,Saint-Avold,57500,France,FR
156,La Tartine Ludique,4 rue Pierre Curie,Sainte Genevieve des Bois,91170,France,FR
157,Baraka Jeux,6 Place de l'Homme de Fer,Strasbourg,67000,France,FR
158,Les Tricheurs - Bar à jeux,7 rue des serruriers,Strasbourg,67000,France,FR
159,Philibar,15 Rue du Marais Vert,Strasbourg,67000,France,FR
160,Schluck N'Spiel, 5 Rue de la Chaîne,Strasbourg,67000,France,FR
161,EPISODE 0,19 Rue des Magasins,Strasbourg,57000,France,FR
162,Baraka Jeux,1 Boulevard de la Gare,Toulouse,31500,France,FR
163,BlastoDice,52 avenue Honoré Serres,Toulouse,31000,France,FR
164,La Taverne du Troll,11 Avenue Maurice Hauriou,Toulouse,31000,France,FR
165,Les Tricheurs - Bar ludique,34 rue des Blanchers,Toulouse,31000,France,FR
166,Yggdrasil,65 Rue Pargaminières,Toulouse,31000,France,FR
167,Shrubbery,17 Rue d'Inkermann,Villeurbanne,69100,France,FR
168,Brettspielplatz - Das Spielecafé,Waldstraße 50,Berlin,10551,Germany,DE
169,Interface Bar,Perleberger Str. 17,Berlin,10559,Germany,DE
170,Spiele-Wirtschaft,Martin-Luther-Str. 84,Berlin,10825,Germany,DE
171,Spielwiese Berlin,Kopernikusstraße 24,Berlin,10245,Germany,DE
172,Gaststätte Zu den vier Winden,Hofsteder Str. 94,Bochum,44809,Germany,DE
173,Voyager - Boardgame Bar Bonn,Rheingasse 7,Bonn,53113,Germany,DE
174,Gastspielhaus,Heinheimer Straße 53,Darmstadt,64289,Germany,DE
175,Barneby,Görlitzer Str. 11,Dresden,01099,Germany,DE
176,White Rabbit ,Segerothstraße 81,Essen,45141,Germany,DE
177,Spielezeitcafe,Angelburger Straße 49,Flensburg,24937,Germany,DE
178,FreiSpiel,Lehener Strae 15,Freiburg,79106,Germany,DE
179,Spielcafe Deichhaus Game Café,Blankwasserweg 118,Grömitz,23743,Germany,DE
180,Wurfel & Zucker,Eilbeker Weg 39,Hamburg,22089,Germany,DE
181,Rollen - und Brettspielverein Thoule,Ostendstraße 1,Karlsruhe,76131,Germany,DE
182,ZAMgwurfelt - the board game cafe,Helene-Mayer-Ring 14,Munich,80809,Germany,DE
183,Spielcafé Osnabrett,Dielingerstraße 40,Osnabrück,49074,Germany,DE
184,Spielecafé der Generationen,Kolpingstr. 14,Pfarrkirchen,84347,Germany,DE
185,Playhouse,Valtetsiou 49,Athens,106 81,Greece,GR
186,Κάισσα Cafe,"Μεσογείων 12, Αμπελόκηποι",Athens,11527,Greece,GR
187,Playce,Vasili Logothetidi 14,Athens,115 24,Greece,GR
188,Playhouse,Sakellariou 21,Ioannina,453 33,Greece,GR
189,Playhouse,Poulidou 6,Kavala,652 01,Greece,GR
190,Playhouse,Panagouli 16,Larisa,412 22,Greece,GR
191,This HOUSE RULES,Dim. Ralli 4,Marousi,151 24,Greece,GR
192,Playhouse,Riga Fereou 127,Patra,262 21,Greece,GR
193,Back 2 Games,Geor. Papandreou 27,Thessaloniki,54645,Greece,GR
