,Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
279,Outpost Antwerpen,Antwerp,SportsVille: Under Armour | Manduka | Oakley,Sporting Goods Shop,1
280,Outpost Antwerpen,Antwerp,lbc-nvk headquarters,Office,1
281,Outpost Antwerpen,Antwerp,Cuperus,Coffee Shop,1
282,Outpost Antwerpen,Antwerp,Bar Ami,Restaurant,1
283,Outpost Antwerpen,Antwerp,Modelbouw Verschooten,Hobby Shop,1
284,Outpost Antwerpen,Antwerp,Fatkat Records,Record Shop,1
285,Outpost Antwerpen,Antwerp,Cutzz Barberlounnge,Salon / Barbershop,1
286,Outpost Antwerpen,Antwerp,bpost,Post Office,1
287,Outpost Antwerpen,Antwerp,Q-Park Handelsbeurs,Parking,1
288,Outpost Antwerpen,Antwerp,Cutzz Barberlounge,Health & Beauty Service,1
289,Outpost Antwerpen,Antwerp,Basic-Fit,Gym / Fitness Center,1
290,Outpost Antwerpen,Antwerp,Mediageuzen NV,Office,1
291,Outpost Antwerpen,Antwerp,EBIB - Bibliotheek Faculteit Economie en Bedrijfswetenschappen,College Lab,1
292,Outpost Antwerpen,Antwerp,Boulangerie D'anvers,Bakery,1
293,Outpost Antwerpen,Antwerp,XSO,Clothing Store,1
294,Outpost Antwerpen,Antwerp,Call Center RVP,Government Building,1
295,Outpost Antwerpen,Antwerp,plan b,Bistro,1
296,Outpost Antwerpen,Antwerp,Theo Somers Optiek,Optical Shop,1
297,Outpost Antwerpen,Antwerp,B-Hemp CBD Shop,Flower Shop,1
298,Outpost Antwerpen,Antwerp,Hifi corner,Miscellaneous Shop,1
299,Outpost Antwerpen,Antwerp,bpost,Post Office,1
300,Outpost Antwerpen,Antwerp,Bibliotheek,College Library,1
301,Outpost Antwerpen,Antwerp,The Chocolate Line,Chocolate Shop,1
302,Outpost Antwerpen,Antwerp,Lbc Volwassen Onderwijs,Adult Education Center,1
303,Outpost Antwerpen,Antwerp,8tea5 Antwerp,Bubble Tea Shop,1
304,Outpost Antwerpen,Antwerp,De Wijnfaktorij,Winery,1
305,Outpost Antwerpen,Antwerp,Music Collectors Items,Record Shop,1
306,Outpost Antwerpen,Antwerp,De Lore,Salon / Barbershop,1
307,La Luck Brussels,Brussels,La Luck,Restaurant,1
308,La Luck Brussels,Brussels,Tarzan,Wine Bar,1
309,La Luck Brussels,Brussels,Chez Jane,Wine Bar,1
310,La Luck Brussels,Brussels,Librairie Wilson,Grocery Store,1
311,La Luck Brussels,Brussels,La Maison by JV,Nail Salon,1
312,La Luck Brussels,Brussels,Texaco,Gas Station,1
313,La Luck Brussels,Brussels,ÖTAP.,Restaurant,1
314,La Luck Brussels,Brussels,Holy Bagels,Bagel Shop,1
315,La Luck Brussels,Brussels,Cecilia Stille,Tailor Shop,1
316,La Luck Brussels,Brussels,La Maison Blanche,Theme Restaurant,1
317,La Luck Brussels,Brussels,Le Fin Gourmet,Deli / Bodega,1
318,La Luck Brussels,Brussels,Le Salon By J.V.,Salon / Barbershop,1
319,La Luck Brussels,Brussels,Siège Social De La Foire Du Livre,Office,1
320,La Luck Brussels,Brussels,Archon HQ,Tech Startup,1
321,La Luck Brussels,Brussels,La Regina,Pizza Place,1
322,La Luck Brussels,Brussels,everest,Asian Restaurant,1
323,La Luck Brussels,Brussels,Ocean Sushi,Sushi Restaurant,1
324,La Luck Brussels,Brussels,Mercredi,Furniture / Home Store,1
325,La Luck Brussels,Brussels,Super Dakota,Art Gallery,1
326,La Luck Brussels,Brussels,Café Costume Elsene,Tailor Shop,1
327,La Luck Brussels,Brussels,Ashida Junko,Salon / Barbershop,1
328,La Luck Brussels,Brussels,Rose Noire,Flower Shop,1
329,La Luck Brussels,Brussels,LDS Analyses Médicales,Medical Center,1
330,La Luck Brussels,Brussels,Pop Up store les comptoirs d'orta,Pop-Up Shop,1
331,La Luck Brussels,Brussels,Villa Thaï,Thai Restaurant,1
332,La Luck Brussels,Brussels,Comptoir des vins,Wine Bar,1
333,La Luck Brussels,Brussels,L.in.k (Association d'Avocats),Lawyer,1
334,La Luck Brussels,Brussels,W80,Design Studio,1
335,La Luck Brussels,Brussels,dentiste Dumont,Dentist's Office,1
336,La Luck Brussels,Brussels,Blocus assistance,College Administrative Building,1
337,La Luck Brussels,Brussels,Sdesign,Office,1
338,La Luck Brussels,Brussels,Hansen décoration,Office,1
339,La Luck Brussels,Brussels,Dr. Kolivras,Doctor's Office,1
340,La Luck Brussels,Brussels,Wine Tasting,Wine Bar,1
341,La Luck Brussels,Brussels,mom's office,Office,1
342,La Luck Brussels,Brussels,Poste Americaine,Tech Startup,1
