,City_name,Venue_name,Venue_cat,Venue_catID
1004,Baranovichi,Leto,Café,4bf58dd8d48988d16d941735
1005,Baranovichi,Grand Buffet,Café,4bf58dd8d48988d16d941735
1006,Baranovichi,Остров Чистоты,Cosmetics Shop,4bf58dd8d48988d10c951735
1007,Baranovichi,Белинвестбанк,Bank,4bf58dd8d48988d10a951735
1008,Baranovichi,Мила,Cosmetics Shop,4bf58dd8d48988d10c951735
1009,Baranovichi,Сластёна,Candy Store,4bf58dd8d48988d117951735
1010,Baranovichi,БелВЭБ,Bank,4bf58dd8d48988d10a951735
1011,Baranovichi,Банк ВТБ,Bank,4bf58dd8d48988d10a951735
1012,Baranovichi,Smile Coffee,Coffee Shop,4bf58dd8d48988d1e0931735
1013,Bari,Giardini Garibaldi,Plaza,4bf58dd8d48988d164941735
1014,Bari,Piazza Garibaldi,Plaza,4bf58dd8d48988d164941735
1015,Bari,Bar Floro,Bar,4bf58dd8d48988d116941735
1016,Bari,Pasticceria Floro,Bar,4bf58dd8d48988d116941735
1017,Bari,Best Western Hotel Executive,Hotel,4bf58dd8d48988d1fa931735
1018,Bari,Autonecessori,Gas Station,4bf58dd8d48988d113951735
1019,Bari,Lerario,Shoe Store,4bf58dd8d48988d107951735
1020,Bari,Bhw Financial,Professional & Other Places,4d4b7105d754a06375d81259
1021,Bari,Pizzeria Vip Da Nico,Pizza Place,4bf58dd8d48988d1ca941735
1022,Bari,Credem,Bank,4bf58dd8d48988d10a951735
1023,Bari,infinity risto pizza,Pizza Place,4bf58dd8d48988d1ca941735
1024,Bari,helix,Pub,4bf58dd8d48988d11b941735
1025,Bari,Grotta Azzura,Italian Restaurant,4bf58dd8d48988d110941735
1026,Bari,Bari - Napoli,Pizza Place,4bf58dd8d48988d1ca941735
1027,Bari,La Muraya,Food,4d4b7105d754a06374d81259
1028,Bari,Il Braciere,BBQ Joint,4bf58dd8d48988d1df931735
1029,Bari,Officina degli Esordi,General Entertainment,4bf58dd8d48988d1f1931735
1030,Bari,Da Clà,Pizza Place,4bf58dd8d48988d1ca941735
1031,Bari,Gran Caffè In,Café,4bf58dd8d48988d16d941735
1032,Bari,B&B piccinni 191,Bed & Breakfast,4bf58dd8d48988d1f8931735
1033,Bari,ca’ savi,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
1034,Bari,Savanj Caffe,Candy Store,4bf58dd8d48988d117951735
1035,Bari,Panificio Veronese,Bakery,4bf58dd8d48988d16a941735
1036,Bari,rex,Dessert Shop,4bf58dd8d48988d1d0941735
1037,Bari,Aranciviola,Accessories Store,4bf58dd8d48988d102951735
1038,Bari,Palazzo della Provincia,College Administrative Building,4bf58dd8d48988d197941735
1039,Bari,La Bul,Italian Restaurant,4bf58dd8d48988d110941735
1040,Bari,Carducci Caffè,Café,4bf58dd8d48988d16d941735
1041,Bari,Osteria Villari,Trattoria/Osteria,55a5a1ebe4b013909087cb7f
1042,Bari,Hot Pizza,Pizza Place,4bf58dd8d48988d1ca941735
1043,Bari,Cafe Noir,Café,4bf58dd8d48988d16d941735
1044,Bari,Centri Diagnostici Di Tonno,Doctor's Office,4bf58dd8d48988d177941735
1045,Bari,Palazzo Fizzarotti,Historic Site,4deefb944765f83613cdba6e
1046,Bari,Café Crème,Tea Room,4bf58dd8d48988d1dc931735
1047,Bari,Engrave di Gaetano Raspanti,Jewelry Store,4bf58dd8d48988d111951735
1048,Bari,Studio Odontoiatrico Dr.Nicola Brescia,Dentist's Office,4bf58dd8d48988d178941735
1049,Bari,Utel Service Sas,Miscellaneous Shop,4bf58dd8d48988d1ff941735
1050,Bari,Poste Italiane,Post Office,4bf58dd8d48988d172941735
1051,Bari,Il Grillo Canterino,Arcade,4bf58dd8d48988d1e1931735
1052,Bari,Ristorante Da Paolo,Seafood Restaurant,4bf58dd8d48988d1ce941735
1053,Barnsley,OO Bar,Bar,4bf58dd8d48988d116941735
1054,Barnsley,The Joseph Bramah (Wetherspoon),Pub,4bf58dd8d48988d11b941735
1055,Barnsley,Morrisons,Supermarket,52f2ab2ebcbc57f1066b8b46
1056,Barnsley,One Stop Game Shop,Video Game Store,4bf58dd8d48988d10b951735
1057,Barnsley,Argos,Warehouse Store,52e816a6bcbc57f1066b7a54
1058,Barnsley,Old No.7,Pub,4bf58dd8d48988d11b941735
1059,Barnsley,Old George,Café,4bf58dd8d48988d16d941735
1060,Barnsley,Sha Shisha Bar,Hookah Bar,4bf58dd8d48988d119941735
