Name,Address,City,PostalCode,Country,Latitude,Longitude
Geek Retreat Nottingham,7 Flying Horse Walk,Nottingham,NG1 2HN,England,52.9525537,-1.1485394
Ludorati Café,72 Maid Marian Way,Nottingham,NG1 6BJ,England,52.9509827,-1.1522164
The Dice Cup,68-70 Mansfield Rd,Nottingham,NG1 3GY,England,52.9657947,-1.1532854
Twist,43 Mayflower Street,Plymouth,PL1 1QL,England,50.3733421,-4.1422928
Dice,149 Albert Rd,Portsmouth,PO4 0JW,England,50.7866554,-1.0754226
The Library Pot,86 Kew Rd,Richmond,TW9 2PQ,England,51.4657871,-0.2982902578221296
Playopolis,2 Star Hill,Rochester,ME1 1UX,England,51.385625000000005,0.5074065320242755
TAU Gaming Ltd,36 Victoria Road,Scarborough,YO11 1SD,England,54.283406,-0.4047317
The Treehouse Board Game Cafe,41 Boston Street,Sheffield,S2 4QF,England,53.3719746,-1.4754654
Nerdy Coffee Co.,49 Mardol,Shrewsbury,SY1 1PP,England,52.7092481,-2.756218
Board in the City CIC,38-40 Onslow Rd,Southampton,SO14 0JG,England,50.91350595,-1.3987905047512323
Loading Bar Dalston,97 Stoke Newington Rd,Stoke Newington,N16 8BX,England,51.554433,-0.0749119
d20 Board Game Cafe,87 Queens Road,Watford,WD17 2QN,England,51.6602509,-0.3929505
Comics Games & Coffee,The Brooks Centre,Winchester,SO23 8QY,England,51.0629693,-1.312387615044039
Geek Retreat Wirral,"2 Market Street, Hoylake",Wirral,CH47 3BD,England,53.390993,-3.1789941
Arcane,129 Salop street,Wolverhampton,WV3 0rx,England,52.5834863,-2.130834
RanSacked Board Game Lounge and Escape Rooms,24-26 Portland Road ,Worthing,BN11 1QN,England,50.8109993,-0.3728258
Random Encounter,9 Gillygate,York,YO31 7EA,England,53.963258,-1.0852936
Cafe Boardgame,Eerikinkatu 14,Helsinki,00100,Finland,60.1668173,24.9344331
Lautapelikahvila Taverna,Rautatienkatu 10,Tampere,33100,Finland,61.5001082,23.7709958
PlatÔbar Bar à Jeux à Aix en Provence,40 rue des Tanneurs,Aix-en-Provence,13100,France,43.527782,5.4463101
Cup n'dice,22 rue Sainte-Marie,Angouleme,16000,France,45.65012045,0.15596068356931952
Le Gros Corbeau,2 Place du Palet,Angouleme,16000,France,45.6512078,0.1559773
Au Café des Meeples Avignon,160 Rue Carreterie,Avignon,84000,France,43.9513758,4.8162145
El Joko,78 Avenue Maréchal Soult,Bayonne,64100,France,43.4840357,-1.49979
Jeux Barjo,12 Rue Saint-James,Bordeaux,33000,France,44.8365018,-0.571443
La Muse Café,10 Rue Brascassat,Bordeaux,33800,France,44.8139887,-0.5561878
La Case Depart,23 Quai Eugene Meslin,Caen,14000,France,49.1757106,-0.356605
Baraka Jeux - Clermont-Ferrand,11 Rue Saint-Adjutor,Clermont-Ferrand,63000,France,45.7788715,3.0800741
La Tete dans le Pion,30 Rue des Petits gras,Clermont-Ferrand,63000,France,45.7779144,3.083679
"L'Aliane, Café Boutiquo-Jeux",13 Rue de la Cigogne,Colmar,68000,France,48.0763596,7.3636089
Archi-Jeux,10 rue Archinard,Crest,26400,France,44.7289158,5.025304
Le Barjoc,"03, rue du Docteur Honnorat",Digne-les-Bains,04000,France,44.0925466,6.233661
Le De Masque,55 Rue Monge,Dijon,21000,France,47.3184923,5.0334266
K fee des jeux,1 quai Stephane Jay,Grenoble,38000,France,45.1938555,5.7295773
"Le Warp, Taverne Ludique",Rue Stephane Guilleme,La Roche sur Yon,85000,France,46.6699555,-1.4246881
L'Antre Jeux,3 Rue Jules Guesde,Limoges,87000,France,45.8294762,1.2618818
Barnade,49 rue de l'abondance 69003 Lyon,Lyon,69003,France,45.7538763,4.854747
"Moi j'm'en fous, je triche",8 rue René Leynaud,Lyon,69001,France,45.7696186,4.8325204
Baraka Jeux - Marseille,21 Cours Julien,Marseille,13006,France,43.2949,5.3830886
Auberge des VoyaJoueurs,Rue du chaperon rouge,Monteneuf,56380,France,47.8765048,-2.2088427
Baraka Jeux - Montpellier,Allée Ulysse,Montpellier,34000,France,43.6034839,3.9165455
Game Taverne,22 Rue de Candolle,Montpellier,34000,France,43.6128226,3.8760568
Les Castors,12 rue des trésoriers de la bourse,Montpellier,34000,France,43.6093407,3.8767576
Game of trolls,8 rue de Paris,Moulins,03000,France,46.5705361,3.3288114
La Feinte de l'Ours,2 avenue du General Leclerc,Nancy,54000,France,48.6848172,6.1867323
La Fabrik a Jeux,1bis Quai Turenne,Nantes,44000,France,47.2133798,-1.5530592
Sur un plateau - Bar à jeux,36 Rue Léon Jamin,Nantes,44000,France,47.2196503,-1.5590164
Bonne Pioche,92 Quai du Châtelet,Orléans,45000,France,47.8980308,1.9050773
Aux Dés Calés,181 Rue Legendre,Paris,75017,France,48.8920813,2.3262325
Café Meisia,84 Rue René Boulanger,Paris,75010,France,48.8693627,2.3570648
Café Oya,25 rue de la Reine Blanche,Paris,75013,France,48.8361137,2.3532367
Le Dernier Bar avant la Fin du Monde,19 Avenue Victoria,Paris,75001,France,48.8577731,2.3476046
Le Nid Cocon Ludique,"227, rue Saint-Martin",Paris,75003,France,48.8649731,2.3533758
Loufoque,57 rue Galande,Paris,75005,France,48.8516454,2.3469158
Meeple Café,33 rue d'Alleray,Paris,75015,France,48.8390224,2.3001811
The Good Game,78 rue de Clery,Paris,75002,France,48.8691029,2.3500965
Café Jeux Natema.,39 Rue des Orteaux,Paris,75020,France,48.856671,2.4017602
La Revanche,38 Avenue Daumesnil,Paris,75012,France,48.8467554,2.376085
Les Mauvais Joueurs,46 Rue Sedaine,Paris,75011,France,48.8572513,2.3755045
Laluditavern,11 rue Valery Meunier,Pau,64000,France,43.2961392,-0.3670953
La malle d'Apolline,14 avenue de Laon,Reims,51100,France,49.2638238,4.0277646
L'Heure du Jeu - Champs Libres,11 boulevard Magenta,Rennes,35000,France,48.1063566,-1.6740973
Le QG des Avenjoueurs Bar à Jeux à Rouen,18 rue des Fossés Louis VIII,Rouen,76000,France,49.4422409,1.0975379
Dé Zinc,1 Avenue Georges Clemenceau,Saint-Avold,57500,France,49.103843,6.705474
La Tartine Ludique,4 rue Pierre Curie,Sainte Genevieve des Bois,91170,France,48.6465048,2.329301
Baraka Jeux,6 Place de l'Homme de Fer,Strasbourg,67000,France,48.5838854,7.7440017
Les Tricheurs - Bar à jeux,7 rue des serruriers,Strasbourg,67000,France,48.5801579,7.7462143
Philibar,15 Rue du Marais Vert,Strasbourg,67000,France,48.5859606,7.7407245
Schluck N'Spiel, 5 Rue de la Chaîne,Strasbourg,67000,France,48.5806058,7.7462374
EPISODE 0,19 Rue des Magasins,Strasbourg,57000,France,48.5906826,7.7404404
Baraka Jeux,1 Boulevard de la Gare,Toulouse,31500,France,43.6014038,1.4570522
BlastoDice,52 avenue Honoré Serres,Toulouse,31000,France,43.6151383,1.4377712
La Taverne du Troll,11 Avenue Maurice Hauriou,Toulouse,31000,France,43.5931084,1.4436045
Les Tricheurs - Bar ludique,34 rue des Blanchers,Toulouse,31000,France,43.6026889,1.4373242
Yggdrasil,65 Rue Pargaminières,Toulouse,31000,France,43.604457,1.4395994
Shrubbery,17 Rue d'Inkermann,Villeurbanne,69100,France,45.7689511,4.8658546
Brettspielplatz - Das Spielecafé,Waldstraße 50,Berlin,10551,Germany,52.5291982,13.3307929
Interface Bar,Perleberger Str. 17,Berlin,10559,Germany,52.5332917,13.3518035
Spiele-Wirtschaft,Martin-Luther-Str. 84,Berlin,10825,Germany,52.4873604,13.344793
Spielwiese Berlin,Kopernikusstraße 24,Berlin,10245,Germany,52.5104455,13.4541003
